Jerry Stackhouse,34
1991,['Scott Williams']
Elton Brand,31
2021,"['Jae Crowder', 'Jrue Holiday', 'Jeff Teague']"
2020,"['Jae Crowder', 'Andre Iguodala']"
2019,"['Jodie Meeks', 'Andre Iguodala', 'Shaun Livingston']"
2018,"['Andre Iguodala', 'Shaun Livingston', 'Jae Crowder', 'Kyle Korver']"
2017,"['Matt Barnes', 'Andre Iguodala', 'Shaun Livingston', 'Dahntay Jones', 'Kyle Korver']"
2016,"['Jared Cunningham', 'Dahntay Jones', 'Andre Iguodala', 'Shaun Livingston', 'Marreese Speights']"
2015,"['Andre Iguodala', 'Shaun Livingston', 'Marreese Speights', 'Shawn Marion']"
2014,['Austin Daye']
2013,['Dexter Pittman']
2012,"['Eddy Curry', 'Dexter Pittman', 'Derek Fisher', 'Royal Ivey', 'Thabo Sefolosha']"
2011,"['Rodrigue Beaubois', 'Dominique Jones', 'Shawn Marion', 'Dirk Nowitzki', 'Eddie House', 'Dexter Pittman']"
2010,"['Derek Fisher', 'Lamar Odom', 'Josh Powell', 'Metta World Peace', 'Eddie House']"
